end_period_ts,open_interest,open_interest_fp,price,volume,volume_fp,yes_ask,yes_bid
1770990720,432,432.00,"{'close': 5, 'close_dollars': '0.0500', 'high': 5, 'high_dollars': '0.0500', 'low': 5, 'low_dollars': '0.0500', 'max': None, 'mean': 5, 'mean_dollars': '0.0500', 'min': None, 'open': 5, 'open_dollars': '0.0500', 'previous': 5, 'previous_dollars': '0.0500'}",25,25.00,"{'close': 5, 'close_dollars': '0.0500', 'high': 5, 'high_dollars': '0.0500', 'low': 5, 'low_dollars': '0.0500', 'open': 5, 'open_dollars': '0.0500'}","{'close': 3, 'close_dollars': '0.0300', 'high': 3, 'high_dollars': '0.0300', 'low': 3, 'low_dollars': '0.0300', 'open': 3, 'open_dollars': '0.0300'}"
1770991080,432,432.00,"{'close': None, 'high': None, 'low': None, 'max': None, 'mean': None, 'min': None, 'open': None, 'previous': 5, 'previous_dollars': '0.0500'}",0,0.00,"{'close': 5, 'close_dollars': '0.0500', 'high': 5, 'high_dollars': '0.0500', 'low': 5, 'low_dollars': '0.0500', 'open': 5, 'open_dollars': '0.0500'}","{'close': 4, 'close_dollars': '0.0400', 'high': 4, 'high_dollars': '0.0400', 'low': 3, 'low_dollars': '0.0300', 'open': 3, 'open_dollars': '0.0300'}"
1770991800,619,619.00,"{'close': 5, 'close_dollars': '0.0500', 'high': 5, 'high_dollars': '0.0500', 'low': 5, 'low_dollars': '0.0500', 'max': None, 'mean': 5, 'mean_dollars': '0.0500', 'min': None, 'open': 5, 'open_dollars': '0.0500', 'previous': 5, 'previous_dollars': '0.0500'}",187,187.00,"{'close': 5, 'close_dollars': '0.0500', 'high': 5, 'high_dollars': '0.0500', 'low': 5, 'low_dollars': '0.0500', 'open': 5, 'open_dollars': '0.0500'}","{'close': 4, 'close_dollars': '0.0400', 'high': 4, 'high_dollars': '0.0400', 'low': 4, 'low_dollars': '0.0400', 'open': 4, 'open_dollars': '0.0400'}"
1770992640,719,719.00,"{'close': 4, 'close_dollars': '0.0400', 'high': 4, 'high_dollars': '0.0400', 'low': 4, 'low_dollars': '0.0400', 'max': None, 'mean': 4, 'mean_dollars': '0.0400', 'min': None, 'open': 4, 'open_dollars': '0.0400', 'previous': 5, 'previous_dollars': '0.0500'}",100,100.00,"{'close': 5, 'close_dollars': '0.0500', 'high': 5, 'high_dollars': '0.0500', 'low': 5, 'low_dollars': '0.0500', 'open': 5, 'open_dollars': '0.0500'}","{'close': 3, 'close_dollars': '0.0300', 'high': 4, 'high_dollars': '0.0400', 'low': 3, 'low_dollars': '0.0300', 'open': 4, 'open_dollars': '0.0400'}"
1770993000,906,906.00,"{'close': 5, 'close_dollars': '0.0500', 'high': 5, 'high_dollars': '0.0500', 'low': 5, 'low_dollars': '0.0500', 'max': None, 'mean': 5, 'mean_dollars': '0.0500', 'min': None, 'open': 5, 'open_dollars': '0.0500', 'previous': 4, 'previous_dollars': '0.0400'}",187,187.00,"{'close': 5, 'close_dollars': '0.0500', 'high': 5, 'high_dollars': '0.0500', 'low': 5, 'low_dollars': '0.0500', 'open': 5, 'open_dollars': '0.0500'}","{'close': 3, 'close_dollars': '0.0300', 'high': 3, 'high_dollars': '0.0300', 'low': 3, 'low_dollars': '0.0300', 'open': 3, 'open_dollars': '0.0300'}"
1770993720,924,924.00,"{'close': 5, 'close_dollars': '0.0500', 'high': 5, 'high_dollars': '0.0500', 'low': 5, 'low_dollars': '0.0500', 'max': None, 'mean': 5, 'mean_dollars': '0.0500', 'min': None, 'open': 5, 'open_dollars': '0.0500', 'previous': 5, 'previous_dollars': '0.0500'}",18,18.00,"{'close': 5, 'close_dollars': '0.0500', 'high': 5, 'high_dollars': '0.0500', 'low': 5, 'low_dollars': '0.0500', 'open': 5, 'open_dollars': '0.0500'}","{'close': 3, 'close_dollars': '0.0300', 'high': 3, 'high_dollars': '0.0300', 'low': 3, 'low_dollars': '0.0300', 'open': 3, 'open_dollars': '0.0300'}"
1770993900,1111,1111.00,"{'close': 5, 'close_dollars': '0.0500', 'high': 5, 'high_dollars': '0.0500', 'low': 5, 'low_dollars': '0.0500', 'max': None, 'mean': 5, 'mean_dollars': '0.0500', 'min': None, 'open': 5, 'open_dollars': '0.0500', 'previous': 5, 'previous_dollars': '0.0500'}",187,187.00,"{'close': 5, 'close_dollars': '0.0500', 'high': 5, 'high_dollars': '0.0500', 'low': 5, 'low_dollars': '0.0500', 'open': 5, 'open_dollars': '0.0500'}","{'close': 3, 'close_dollars': '0.0300', 'high': 3, 'high_dollars': '0.0300', 'low': 3, 'low_dollars': '0.0300', 'open': 3, 'open_dollars': '0.0300'}"
1770994020,1129,1129.00,"{'close': 5, 'close_dollars': '0.0500', 'high': 5, 'high_dollars': '0.0500', 'low': 5, 'low_dollars': '0.0500', 'max': None, 'mean': 5, 'mean_dollars': '0.0500', 'min': None, 'open': 5, 'open_dollars': '0.0500', 'previous': 5, 'previous_dollars': '0.0500'}",18,18.00,"{'close': 5, 'close_dollars': '0.0500', 'high': 5, 'high_dollars': '0.0500', 'low': 5, 'low_dollars': '0.0500', 'open': 5, 'open_dollars': '0.0500'}","{'close': 3, 'close_dollars': '0.0300', 'high': 3, 'high_dollars': '0.0300', 'low': 3, 'low_dollars': '0.0300', 'open': 3, 'open_dollars': '0.0300'}"
1770994380,1166,1166.00,"{'close': 5, 'close_dollars': '0.0500', 'high': 5, 'high_dollars': '0.0500', 'low': 5, 'low_dollars': '0.0500', 'max': None, 'mean': 5, 'mean_dollars': '0.0500', 'min': None, 'open': 5, 'open_dollars': '0.0500', 'previous': 5, 'previous_dollars': '0.0500'}",37,37.00,"{'close': 5, 'close_dollars': '0.0500', 'high': 5, 'high_dollars': '0.0500', 'low': 5, 'low_dollars': '0.0500', 'open': 5, 'open_dollars': '0.0500'}","{'close': 3, 'close_dollars': '0.0300', 'high': 3, 'high_dollars': '0.0300', 'low': 3, 'low_dollars': '0.0300', 'open': 3, 'open_dollars': '0.0300'}"
1770994560,1169,1169.00,"{'close': 3, 'close_dollars': '0.0300', 'high': 3, 'high_dollars': '0.0300', 'low': 3, 'low_dollars': '0.0300', 'max': None, 'mean': 3, 'mean_dollars': '0.0300', 'min': None, 'open': 3, 'open_dollars': '0.0300', 'previous': 5, 'previous_dollars': '0.0500'}",3,3.00,"{'close': 5, 'close_dollars': '0.0500', 'high': 5, 'high_dollars': '0.0500', 'low': 5, 'low_dollars': '0.0500', 'open': 5, 'open_dollars': '0.0500'}","{'close': 3, 'close_dollars': '0.0300', 'high': 3, 'high_dollars': '0.0300', 'low': 3, 'low_dollars': '0.0300', 'open': 3, 'open_dollars': '0.0300'}"
