end_period_ts,open_interest,open_interest_fp,price,volume,volume_fp,yes_ask,yes_bid
1767458100,16492,16492.00,"{'close': 67, 'close_dollars': '0.6700', 'high': 67, 'high_dollars': '0.6700', 'low': 66, 'low_dollars': '0.6600', 'max': None, 'mean': 66, 'mean_dollars': '0.6604', 'min': None, 'open': 66, 'open_dollars': '0.6600', 'previous': 63, 'previous_dollars': '0.6300'}",25,25.00,"{'close': 67, 'close_dollars': '0.6700', 'high': 68, 'high_dollars': '0.6800', 'low': 66, 'low_dollars': '0.6600', 'open': 66, 'open_dollars': '0.6600'}","{'close': 66, 'close_dollars': '0.6600', 'high': 66, 'high_dollars': '0.6600', 'low': 64, 'low_dollars': '0.6400', 'open': 64, 'open_dollars': '0.6400'}"
1767458160,16493,16493.00,"{'close': 69, 'close_dollars': '0.6900', 'high': 69, 'high_dollars': '0.6900', 'low': 67, 'low_dollars': '0.6700', 'max': None, 'mean': 68, 'mean_dollars': '0.6800', 'min': None, 'open': 67, 'open_dollars': '0.6700', 'previous': 67, 'previous_dollars': '0.6700'}",2,2.00,"{'close': 69, 'close_dollars': '0.6900', 'high': 70, 'high_dollars': '0.7000', 'low': 67, 'low_dollars': '0.6700', 'open': 67, 'open_dollars': '0.6700'}","{'close': 66, 'close_dollars': '0.6600', 'high': 66, 'high_dollars': '0.6600', 'low': 66, 'low_dollars': '0.6600', 'open': 66, 'open_dollars': '0.6600'}"
1767458220,18318,18318.00,"{'close': 72, 'close_dollars': '0.7200', 'high': 86, 'high_dollars': '0.8600', 'low': 65, 'low_dollars': '0.6500', 'max': None, 'mean': 77, 'mean_dollars': '0.7733', 'min': None, 'open': 69, 'open_dollars': '0.6900', 'previous': 69, 'previous_dollars': '0.6900'}",2218,2218.00,"{'close': 79, 'close_dollars': '0.7900', 'high': 86, 'high_dollars': '0.8600', 'low': 69, 'low_dollars': '0.6900', 'open': 69, 'open_dollars': '0.6900'}","{'close': 72, 'close_dollars': '0.7200', 'high': 72, 'high_dollars': '0.7200', 'low': 65, 'low_dollars': '0.6500', 'open': 66, 'open_dollars': '0.6600'}"
1767458280,18059,18059.00,"{'close': 68, 'close_dollars': '0.6800', 'high': 79, 'high_dollars': '0.7900', 'low': 66, 'low_dollars': '0.6600', 'max': None, 'mean': 69, 'mean_dollars': '0.6912', 'min': None, 'open': 72, 'open_dollars': '0.7200', 'previous': 72, 'previous_dollars': '0.7200'}",531,531.00,"{'close': 77, 'close_dollars': '0.7700', 'high': 79, 'high_dollars': '0.7900', 'low': 77, 'low_dollars': '0.7700', 'open': 79, 'open_dollars': '0.7900'}","{'close': 68, 'close_dollars': '0.6800', 'high': 72, 'high_dollars': '0.7200', 'low': 66, 'low_dollars': '0.6600', 'open': 72, 'open_dollars': '0.7200'}"
1767458340,18177,18177.00,"{'close': 66, 'close_dollars': '0.6600', 'high': 75, 'high_dollars': '0.7500', 'low': 66, 'low_dollars': '0.6600', 'max': None, 'mean': 69, 'mean_dollars': '0.6956', 'min': None, 'open': 75, 'open_dollars': '0.7500', 'previous': 68, 'previous_dollars': '0.6800'}",199,199.00,"{'close': 72, 'close_dollars': '0.7200', 'high': 77, 'high_dollars': '0.7700', 'low': 72, 'low_dollars': '0.7200', 'open': 77, 'open_dollars': '0.7700'}","{'close': 67, 'close_dollars': '0.6700', 'high': 68, 'high_dollars': '0.6800', 'low': 66, 'low_dollars': '0.6600', 'open': 68, 'open_dollars': '0.6800'}"
1767458400,18246,18246.00,"{'close': 70, 'close_dollars': '0.7000', 'high': 70, 'high_dollars': '0.7000', 'low': 62, 'low_dollars': '0.6200', 'max': None, 'mean': 67, 'mean_dollars': '0.6744', 'min': None, 'open': 69, 'open_dollars': '0.6900', 'previous': 66, 'previous_dollars': '0.6600'}",152,152.00,"{'close': 69, 'close_dollars': '0.6900', 'high': 72, 'high_dollars': '0.7200', 'low': 69, 'low_dollars': '0.6900', 'open': 72, 'open_dollars': '0.7200'}","{'close': 58, 'close_dollars': '0.5800', 'high': 67, 'high_dollars': '0.6700', 'low': 57, 'low_dollars': '0.5700', 'open': 67, 'open_dollars': '0.6700'}"
1767458460,18258,18258.00,"{'close': 60, 'close_dollars': '0.6000', 'high': 71, 'high_dollars': '0.7100', 'low': 58, 'low_dollars': '0.5800', 'max': None, 'mean': 65, 'mean_dollars': '0.6526', 'min': None, 'open': 69, 'open_dollars': '0.6900', 'previous': 70, 'previous_dollars': '0.7000'}",19,19.00,"{'close': 68, 'close_dollars': '0.6800', 'high': 71, 'high_dollars': '0.7100', 'low': 68, 'low_dollars': '0.6800', 'open': 69, 'open_dollars': '0.6900'}","{'close': 60, 'close_dollars': '0.6000', 'high': 60, 'high_dollars': '0.6000', 'low': 58, 'low_dollars': '0.5800', 'open': 58, 'open_dollars': '0.5800'}"
1767458520,18492,18492.00,"{'close': 61, 'close_dollars': '0.6100', 'high': 69, 'high_dollars': '0.6900', 'low': 61, 'low_dollars': '0.6100', 'max': None, 'mean': 66, 'mean_dollars': '0.6623', 'min': None, 'open': 68, 'open_dollars': '0.6800', 'previous': 60, 'previous_dollars': '0.6000'}",345,345.00,"{'close': 65, 'close_dollars': '0.6500', 'high': 90, 'high_dollars': '0.9000', 'low': 65, 'low_dollars': '0.6500', 'open': 68, 'open_dollars': '0.6800'}","{'close': 61, 'close_dollars': '0.6100', 'high': 69, 'high_dollars': '0.6900', 'low': 58, 'low_dollars': '0.5800', 'open': 60, 'open_dollars': '0.6000'}"
1767458580,18629,18629.00,"{'close': 51, 'close_dollars': '0.5100', 'high': 90, 'high_dollars': '0.9000', 'low': 51, 'low_dollars': '0.5100', 'max': None, 'mean': 74, 'mean_dollars': '0.7445', 'min': None, 'open': 61, 'open_dollars': '0.6100', 'previous': 61, 'previous_dollars': '0.6100'}",198,198.00,"{'close': 65, 'close_dollars': '0.6500', 'high': 90, 'high_dollars': '0.9000', 'low': 60, 'low_dollars': '0.6000', 'open': 65, 'open_dollars': '0.6500'}","{'close': 51, 'close_dollars': '0.5100', 'high': 61, 'high_dollars': '0.6100', 'low': 49, 'low_dollars': '0.4900', 'open': 61, 'open_dollars': '0.6100'}"
1767458640,18925,18925.00,"{'close': 52, 'close_dollars': '0.5200', 'high': 94, 'high_dollars': '0.9400', 'low': 51, 'low_dollars': '0.5100', 'max': None, 'mean': 78, 'mean_dollars': '0.7802', 'min': None, 'open': 86, 'open_dollars': '0.8600', 'previous': 51, 'previous_dollars': '0.5100'}",326,326.00,"{'close': 93, 'close_dollars': '0.9300', 'high': 95, 'high_dollars': '0.9500', 'low': 65, 'low_dollars': '0.6500', 'open': 65, 'open_dollars': '0.6500'}","{'close': 53, 'close_dollars': '0.5300', 'high': 53, 'high_dollars': '0.5300', 'low': 51, 'low_dollars': '0.5100', 'open': 51, 'open_dollars': '0.5100'}"
