end_period_ts,open_interest,open_interest_fp,price,volume,volume_fp,yes_ask,yes_bid
1754926260,694,694.00,"{'close': None, 'high': None, 'low': None, 'max': None, 'mean': None, 'min': None, 'open': None, 'previous': 39, 'previous_dollars': '0.3900'}",0,0.00,"{'close': 40, 'close_dollars': '0.4000', 'high': 97, 'high_dollars': '0.9700', 'low': 40, 'low_dollars': '0.4000', 'open': 97, 'open_dollars': '0.9700'}","{'close': 30, 'close_dollars': '0.3000', 'high': 30, 'high_dollars': '0.3000', 'low': 0, 'low_dollars': '0.0000', 'open': 0, 'open_dollars': '0.0000'}"
1754926380,694,694.00,"{'close': 32, 'close_dollars': '0.3200', 'high': 32, 'high_dollars': '0.3200', 'low': 32, 'low_dollars': '0.3200', 'max': None, 'mean': 32, 'mean_dollars': '0.3200', 'min': None, 'open': 32, 'open_dollars': '0.3200', 'previous': 39, 'previous_dollars': '0.3900'}",40,40.00,"{'close': 97, 'close_dollars': '0.9700', 'high': 97, 'high_dollars': '0.9700', 'low': 32, 'low_dollars': '0.3200', 'open': 40, 'open_dollars': '0.4000'}","{'close': 0, 'close_dollars': '0.0000', 'high': 32, 'high_dollars': '0.3200', 'low': 0, 'low_dollars': '0.0000', 'open': 30, 'open_dollars': '0.3000'}"
1754926500,694,694.00,"{'close': None, 'high': None, 'low': None, 'max': None, 'mean': None, 'min': None, 'open': None, 'previous': 32, 'previous_dollars': '0.3200'}",0,0.00,"{'close': 40, 'close_dollars': '0.4000', 'high': 97, 'high_dollars': '0.9700', 'low': 40, 'low_dollars': '0.4000', 'open': 97, 'open_dollars': '0.9700'}","{'close': 30, 'close_dollars': '0.3000', 'high': 30, 'high_dollars': '0.3000', 'low': 0, 'low_dollars': '0.0000', 'open': 0, 'open_dollars': '0.0000'}"
1754926560,694,694.00,"{'close': 28, 'close_dollars': '0.2800', 'high': 30, 'high_dollars': '0.3000', 'low': 28, 'low_dollars': '0.2800', 'max': None, 'mean': 28, 'mean_dollars': '0.2893', 'min': None, 'open': 30, 'open_dollars': '0.3000', 'previous': 32, 'previous_dollars': '0.3200'}",75,75.00,"{'close': 97, 'close_dollars': '0.9700', 'high': 97, 'high_dollars': '0.9700', 'low': 38, 'low_dollars': '0.3800', 'open': 40, 'open_dollars': '0.4000'}","{'close': 15, 'close_dollars': '0.1500', 'high': 30, 'high_dollars': '0.3000', 'low': 0, 'low_dollars': '0.0000', 'open': 30, 'open_dollars': '0.3000'}"
1754926620,694,694.00,"{'close': None, 'high': None, 'low': None, 'max': None, 'mean': None, 'min': None, 'open': None, 'previous': 28, 'previous_dollars': '0.2800'}",0,0.00,"{'close': 36, 'close_dollars': '0.3600', 'high': 97, 'high_dollars': '0.9700', 'low': 36, 'low_dollars': '0.3600', 'open': 97, 'open_dollars': '0.9700'}","{'close': 26, 'close_dollars': '0.2600', 'high': 26, 'high_dollars': '0.2600', 'low': 15, 'low_dollars': '0.1500', 'open': 15, 'open_dollars': '0.1500'}"
1754926680,703,703.00,"{'close': 26, 'close_dollars': '0.2600', 'high': 26, 'high_dollars': '0.2600', 'low': 26, 'low_dollars': '0.2600', 'max': None, 'mean': 26, 'mean_dollars': '0.2600', 'min': None, 'open': 26, 'open_dollars': '0.2600', 'previous': 28, 'previous_dollars': '0.2800'}",40,40.00,"{'close': 97, 'close_dollars': '0.9700', 'high': 97, 'high_dollars': '0.9700', 'low': 36, 'low_dollars': '0.3600', 'open': 36, 'open_dollars': '0.3600'}","{'close': 13, 'close_dollars': '0.1300', 'high': 26, 'high_dollars': '0.2600', 'low': 13, 'low_dollars': '0.1300', 'open': 26, 'open_dollars': '0.2600'}"
1754926740,623,623.00,"{'close': 13, 'close_dollars': '0.1300', 'high': 24, 'high_dollars': '0.2400', 'low': 13, 'low_dollars': '0.1300', 'max': None, 'mean': 16, 'mean_dollars': '0.1667', 'min': None, 'open': 24, 'open_dollars': '0.2400', 'previous': 26, 'previous_dollars': '0.2600'}",120,120.00,"{'close': 97, 'close_dollars': '0.9700', 'high': 97, 'high_dollars': '0.9700', 'low': 34, 'low_dollars': '0.3400', 'open': 97, 'open_dollars': '0.9700'}","{'close': 0, 'close_dollars': '0.0000', 'high': 24, 'high_dollars': '0.2400', 'low': 0, 'low_dollars': '0.0000', 'open': 13, 'open_dollars': '0.1300'}"
1754926800,663,663.00,"{'close': 24, 'close_dollars': '0.2400', 'high': 24, 'high_dollars': '0.2400', 'low': 24, 'low_dollars': '0.2400', 'max': None, 'mean': 24, 'mean_dollars': '0.2400', 'min': None, 'open': 24, 'open_dollars': '0.2400', 'previous': 13, 'previous_dollars': '0.1300'}",40,40.00,"{'close': 32, 'close_dollars': '0.3200', 'high': 97, 'high_dollars': '0.9700', 'low': 32, 'low_dollars': '0.3200', 'open': 97, 'open_dollars': '0.9700'}","{'close': 22, 'close_dollars': '0.2200', 'high': 24, 'high_dollars': '0.2400', 'low': 0, 'low_dollars': '0.0000', 'open': 0, 'open_dollars': '0.0000'}"
1754926920,703,703.00,"{'close': 22, 'close_dollars': '0.2200', 'high': 32, 'high_dollars': '0.3200', 'low': 22, 'low_dollars': '0.2200', 'max': None, 'mean': 22, 'mean_dollars': '0.2270', 'min': None, 'open': 32, 'open_dollars': '0.3200', 'previous': 24, 'previous_dollars': '0.2400'}",43,43.00,"{'close': 97, 'close_dollars': '0.9700', 'high': 97, 'high_dollars': '0.9700', 'low': 32, 'low_dollars': '0.3200', 'open': 32, 'open_dollars': '0.3200'}","{'close': 8, 'close_dollars': '0.0800', 'high': 22, 'high_dollars': '0.2200', 'low': 0, 'low_dollars': '0.0000', 'open': 22, 'open_dollars': '0.2200'}"
1754926980,703,703.00,"{'close': None, 'high': None, 'low': None, 'max': None, 'mean': None, 'min': None, 'open': None, 'previous': 22, 'previous_dollars': '0.2200'}",0,0.00,"{'close': 30, 'close_dollars': '0.3000', 'high': 97, 'high_dollars': '0.9700', 'low': 30, 'low_dollars': '0.3000', 'open': 97, 'open_dollars': '0.9700'}","{'close': 20, 'close_dollars': '0.2000', 'high': 20, 'high_dollars': '0.2000', 'low': 8, 'low_dollars': '0.0800', 'open': 8, 'open_dollars': '0.0800'}"
1754927100,703,703.00,"{'close': 20, 'close_dollars': '0.2000', 'high': 20, 'high_dollars': '0.2000', 'low': 20, 'low_dollars': '0.2000', 'max': None, 'mean': 20, 'mean_dollars': '0.2000', 'min': None, 'open': 20, 'open_dollars': '0.2000', 'previous': 22, 'previous_dollars': '0.2200'}",40,40.00,"{'close': 97, 'close_dollars': '0.9700', 'high': 97, 'high_dollars': '0.9700', 'low': 29, 'low_dollars': '0.2900', 'open': 30, 'open_dollars': '0.3000'}","{'close': 8, 'close_dollars': '0.0800', 'high': 20, 'high_dollars': '0.2000', 'low': 8, 'low_dollars': '0.0800', 'open': 20, 'open_dollars': '0.2000'}"
1754927220,703,703.00,"{'close': None, 'high': None, 'low': None, 'max': None, 'mean': None, 'min': None, 'open': None, 'previous': 20, 'previous_dollars': '0.2000'}",0,0.00,"{'close': 28, 'close_dollars': '0.2800', 'high': 97, 'high_dollars': '0.9700', 'low': 28, 'low_dollars': '0.2800', 'open': 97, 'open_dollars': '0.9700'}","{'close': 18, 'close_dollars': '0.1800', 'high': 18, 'high_dollars': '0.1800', 'low': 8, 'low_dollars': '0.0800', 'open': 8, 'open_dollars': '0.0800'}"
