end_period_ts,open_interest,open_interest_fp,price,volume,volume_fp,yes_ask,yes_bid
1763743080,3653,3653.00,"{'close': 50, 'close_dollars': '0.5000', 'high': 50, 'high_dollars': '0.5000', 'low': 50, 'low_dollars': '0.5000', 'max': None, 'mean': 50, 'mean_dollars': '0.5000', 'min': None, 'open': 50, 'open_dollars': '0.5000', 'previous': 50, 'previous_dollars': '0.5000'}",38,38.00,"{'close': 50, 'close_dollars': '0.5000', 'high': 50, 'high_dollars': '0.5000', 'low': 50, 'low_dollars': '0.5000', 'open': 50, 'open_dollars': '0.5000'}","{'close': 38, 'close_dollars': '0.3800', 'high': 38, 'high_dollars': '0.3800', 'low': 36, 'low_dollars': '0.3600', 'open': 36, 'open_dollars': '0.3600'}"
1763743140,3653,3653.00,"{'close': None, 'high': None, 'low': None, 'max': None, 'mean': None, 'min': None, 'open': None, 'previous': 50, 'previous_dollars': '0.5000'}",0,0.00,"{'close': 50, 'close_dollars': '0.5000', 'high': 50, 'high_dollars': '0.5000', 'low': 50, 'low_dollars': '0.5000', 'open': 50, 'open_dollars': '0.5000'}","{'close': 38, 'close_dollars': '0.3800', 'high': 38, 'high_dollars': '0.3800', 'low': 38, 'low_dollars': '0.3800', 'open': 38, 'open_dollars': '0.3800'}"
1763743260,3653,3653.00,"{'close': None, 'high': None, 'low': None, 'max': None, 'mean': None, 'min': None, 'open': None, 'previous': 50, 'previous_dollars': '0.5000'}",0,0.00,"{'close': 50, 'close_dollars': '0.5000', 'high': 50, 'high_dollars': '0.5000', 'low': 50, 'low_dollars': '0.5000', 'open': 50, 'open_dollars': '0.5000'}","{'close': 35, 'close_dollars': '0.3500', 'high': 38, 'high_dollars': '0.3800', 'low': 35, 'low_dollars': '0.3500', 'open': 38, 'open_dollars': '0.3800'}"
1763743440,3653,3653.00,"{'close': None, 'high': None, 'low': None, 'max': None, 'mean': None, 'min': None, 'open': None, 'previous': 50, 'previous_dollars': '0.5000'}",0,0.00,"{'close': 50, 'close_dollars': '0.5000', 'high': 50, 'high_dollars': '0.5000', 'low': 50, 'low_dollars': '0.5000', 'open': 50, 'open_dollars': '0.5000'}","{'close': 37, 'close_dollars': '0.3700', 'high': 37, 'high_dollars': '0.3700', 'low': 35, 'low_dollars': '0.3500', 'open': 35, 'open_dollars': '0.3500'}"
1763743500,3653,3653.00,"{'close': None, 'high': None, 'low': None, 'max': None, 'mean': None, 'min': None, 'open': None, 'previous': 50, 'previous_dollars': '0.5000'}",0,0.00,"{'close': 50, 'close_dollars': '0.5000', 'high': 50, 'high_dollars': '0.5000', 'low': 50, 'low_dollars': '0.5000', 'open': 50, 'open_dollars': '0.5000'}","{'close': 37, 'close_dollars': '0.3700', 'high': 37, 'high_dollars': '0.3700', 'low': 37, 'low_dollars': '0.3700', 'open': 37, 'open_dollars': '0.3700'}"
1763743620,3653,3653.00,"{'close': None, 'high': None, 'low': None, 'max': None, 'mean': None, 'min': None, 'open': None, 'previous': 50, 'previous_dollars': '0.5000'}",0,0.00,"{'close': 50, 'close_dollars': '0.5000', 'high': 50, 'high_dollars': '0.5000', 'low': 50, 'low_dollars': '0.5000', 'open': 50, 'open_dollars': '0.5000'}","{'close': 36, 'close_dollars': '0.3600', 'high': 37, 'high_dollars': '0.3700', 'low': 36, 'low_dollars': '0.3600', 'open': 37, 'open_dollars': '0.3700'}"
1763743740,3656,3656.00,"{'close': 50, 'close_dollars': '0.5000', 'high': 50, 'high_dollars': '0.5000', 'low': 50, 'low_dollars': '0.5000', 'max': None, 'mean': 50, 'mean_dollars': '0.5000', 'min': None, 'open': 50, 'open_dollars': '0.5000', 'previous': 50, 'previous_dollars': '0.5000'}",3,3.00,"{'close': 50, 'close_dollars': '0.5000', 'high': 50, 'high_dollars': '0.5000', 'low': 50, 'low_dollars': '0.5000', 'open': 50, 'open_dollars': '0.5000'}","{'close': 36, 'close_dollars': '0.3600', 'high': 36, 'high_dollars': '0.3600', 'low': 36, 'low_dollars': '0.3600', 'open': 36, 'open_dollars': '0.3600'}"
1763743800,3656,3656.00,"{'close': None, 'high': None, 'low': None, 'max': None, 'mean': None, 'min': None, 'open': None, 'previous': 50, 'previous_dollars': '0.5000'}",0,0.00,"{'close': 50, 'close_dollars': '0.5000', 'high': 50, 'high_dollars': '0.5000', 'low': 50, 'low_dollars': '0.5000', 'open': 50, 'open_dollars': '0.5000'}","{'close': 38, 'close_dollars': '0.3800', 'high': 38, 'high_dollars': '0.3800', 'low': 36, 'low_dollars': '0.3600', 'open': 36, 'open_dollars': '0.3600'}"
1763743860,3656,3656.00,"{'close': None, 'high': None, 'low': None, 'max': None, 'mean': None, 'min': None, 'open': None, 'previous': 50, 'previous_dollars': '0.5000'}",0,0.00,"{'close': 50, 'close_dollars': '0.5000', 'high': 50, 'high_dollars': '0.5000', 'low': 50, 'low_dollars': '0.5000', 'open': 50, 'open_dollars': '0.5000'}","{'close': 40, 'close_dollars': '0.4000', 'high': 40, 'high_dollars': '0.4000', 'low': 38, 'low_dollars': '0.3800', 'open': 38, 'open_dollars': '0.3800'}"
1763744040,3656,3656.00,"{'close': None, 'high': None, 'low': None, 'max': None, 'mean': None, 'min': None, 'open': None, 'previous': 50, 'previous_dollars': '0.5000'}",0,0.00,"{'close': 50, 'close_dollars': '0.5000', 'high': 50, 'high_dollars': '0.5000', 'low': 50, 'low_dollars': '0.5000', 'open': 50, 'open_dollars': '0.5000'}","{'close': 39, 'close_dollars': '0.3900', 'high': 40, 'high_dollars': '0.4000', 'low': 38, 'low_dollars': '0.3800', 'open': 40, 'open_dollars': '0.4000'}"
